Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
RYL: Path of the Emperor,PC,2005-06-20,50,85.0,"Youxiland,Gamasoft","role-playing,massivelymultiplayeronline,fantasy,fantasy",>4,21,102,2005,6,20,Lun,"['role-playing', 'massivelymultiplayeronline', 'fantasy']"
Shade: Wrath of Angels,PC,2004-10-01,50,76.0,BlackElement,"actionadventure,horror,survival",1,12,29,2004,10,1,Vie,"['horror', 'actionadventure', 'survival']"
Star Trek: D-A-C,PC,2009-11-12,50,38.0,NakedSkyEntertainment,"action,general,general",No info,9,22,2009,11,12,Jue,"['action', 'general']"
Yaiba: Ninja Gaiden Z,Xbox360,2014-03-18,50,52.0,"SparkUnlimited,comcept","horror,actionadventure,general,horror,survival,linear",1,20,45,2014,3,18,Mar,"['linear', 'survival', 'horror', 'actionadventure', 'general']"
Dead Rising 3: Chaos Rising,XboxOne,2014-02-21,50,34.0,CapcomVancouver,"action,actionadventure,general,open-world",No info,7,27,2014,2,21,Vie,"['action', 'general', 'open-world', 'actionadventure']"
Ford Racing 3,PlayStation2,2005-03-22,50,72.0,RazorworksStudios,"driving,racing,gt/street",2,7,15,2005,3,22,Mar,"['driving', 'racing', 'gt/street']"
Manic Monkey Mayhem,Wii,2010-05-24,50,70.0,TheCodeMonkeys,"action,general,general",4,9,5,2010,5,24,Lun,"['action', 'general']"
Ford Bold Moves Street Racing,PlayStation2,2006-09-26,50,46.0,RazorworksStudios,"driving,racing,gt/street",2,22,5,2006,9,26,Mar,"['driving', 'racing', 'gt/street']"
Sonic Adventure,PlayStation3,2010-09-21,50,73.0,SonicTeam,"action,platformer,platformer,3d,3d",No info,18,91,2010,9,21,Mar,"['action', 'platformer', '3d']"
Night at the Museum: Battle of the Smithsonian,Xbox360,2009-05-05,50,71.0,"MajescoGames,Majesco","action,actionadventure,adventure,general,general,3d,linear,first-person",No info,15,8,2009,5,5,Mar,"['3d', 'adventure', 'linear', 'first-person', 'actionadventure', 'general', 'action']"
NARC,PlayStation2,2005-03-22,50,70.0,PointofView,"actionadventure,modern",1,24,22,2005,3,22,Mar,"['actionadventure', 'modern']"
Toby: The Secret Mine,PlayStation4,2017-07-06,50,0.0,LukasNavratil,"action,platformer,2d",No info,9,0,2017,7,6,Jue,"['2d', 'action', 'platformer']"
Armikrog,PlayStation4,2016-08-23,50,61.0,PencilTestStudios,"adventure,point-and-click",No info,8,16,2016,8,23,Mar,"['adventure', 'point-and-click']"
Syberia,PlayStation3,2014-12-02,50,72.0,AnumanInteractive,"adventure,3d,third-person,fantasy",No info,7,21,2014,12,2,Mar,"['third-person', 'adventure', '3d', 'fantasy']"
Carnivores HD: Dinosaur Hunter,PlayStation3,2013-09-10,50,55.0,"VogsterEntertainment,LLC","action,shooter,general,shooter,first-person,fantasy,fantasy,arcade",No info,8,34,2013,9,10,Mar,"['arcade', 'first-person', 'shooter', 'fantasy', 'general', 'action']"
Samurai Sword Destiny,3DS,2012-01-05,50,0.0,UFOInteractive,"action,general,general",1,7,0,2012,1,5,Jue,"['action', 'general']"
Yoostar 2: In The Movies,Xbox360,2011-03-08,50,37.0,BlitzGamesStudios,"miscellaneous,party,party,party/minigame",1,25,10,2011,3,8,Mar,"['miscellaneous', 'party', 'party/minigame']"
Trapped Dead,PC,2011-02-25,50,46.0,"HeadupGames,CreneticStudios","strategy,real-time,sci-fi",No info,14,58,2011,2,25,Vie,"['real-time', 'strategy', 'sci-fi']"
Need for Speed: Hot Pursuit,Wii,2010-11-16,50,43.0,ExientEntertainment,"driving,racing,arcade,arcade,automobile",No info,8,22,2010,11,16,Mar,"['driving', 'arcade', 'racing', 'automobile']"
Bakugan: Defenders of the Core,PlayStation3,2010-10-26,50,0.0,NowProduction,"action,general,general",No info,7,0,2010,10,26,Mar,"['action', 'general']"
Guitar Hero: Van Halen,Wii,2009-12-22,50,52.0,NeversoftEntertainment,"action,miscellaneous,rhythm,music,music",No info,12,6,2009,12,22,Mar,"['miscellaneous', 'action', 'rhythm', 'music']"
Twin Strike: Operation Thunder,Wii,2008-10-28,50,77.0,NapsTeam,"action,shooter,shooter,scrolling,scrolling",1,7,7,2008,10,28,Mar,"['action', 'shooter', 'scrolling']"
B-Boy,PSP,2008-09-23,50,81.0,FreeStyleGames,"action,miscellaneous,rhythm,dancing,dancing",4,11,7,2008,9,23,Mar,"['miscellaneous', 'action', 'rhythm', 'dancing']"
Two Worlds,Xbox360,2007-08-23,50,54.0,RealityPump,"role-playing,third-person,third-person,general",>4,44,191,2007,8,23,Jue,"['role-playing', 'third-person', 'general']"
Legends of Wrestling,GameCube,2002-05-27,50,68.0,Acclaim,"action,fighting,wrestling",4,18,4,2002,5,27,Lun,"['action', 'fighting', 'wrestling']"
Dragon Rage,PlayStation2,2001-11-27,50,63.0,3DO,"action,shooter,third-person,fantasy",1,9,9,2001,11,27,Mar,"['action', 'third-person', 'shooter', 'fantasy']"
Army Men: World War,PlayStation,2000-02-29,50,68.0,3DO,"action,general",2,8,11,2000,2,29,Mar,"['action', 'general']"
NeverDead,PlayStation3,2012-01-31,50,49.0,Rebellion,"actionadventure,horror,horror,survival",4,32,58,2012,1,31,Mar,"['horror', 'actionadventure', 'survival']"
Deca Sports,Wii,2008-05-13,50,54.0,CAProduction,"sports,olympicsports,olympicsports,individual,athletics",4,23,16,2008,5,13,Mar,"['athletics', 'olympicsports', 'sports', 'individual']"
Disney*Pixar WALL-E,Xbox360,2008-06-24,50,64.0,HeavyIronStudios,"action,platformer,platformer,3d,3d",1,32,14,2008,6,24,Mar,"['action', 'platformer', '3d']"
Samurai Warriors 2: Xtreme Legends,PlayStation2,2008-03-18,50,80.0,Koei,"action,beat-'em-up",2,11,9,2008,3,18,Mar,"['action', ""beat-'em-up""]"
