Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
Star Wars Battlefront: Elite Squadron,DS,2009-11-03,61,55.0,n-Space,"action,shooter,shooter,third-person,sci-fi,sci-fi,arcade",4,12,11,2009,11,3,Mar,"['sci-fi', 'shooter', 'arcade', 'action', 'third-person']"
MLB 2004,PlayStation2,2003-03-10,61,79.0,989Sports,"sports,traditional,baseball,sim",2,21,9,2003,3,10,Lun,"['baseball', 'sports', 'sim', 'traditional']"
Lego Soccer Mania,PlayStation2,2002-06-17,61,88.0,SiliconDreams,"sports,traditional,soccer,arcade",No info,8,4,2002,6,17,Lun,"['soccer', 'sports', 'arcade', 'traditional']"
Pinobee: Wings of Adventure,GameBoyAdvance,2001-05-30,61,80.0,Artoon,"action,general",No info,8,4,2001,5,30,Mie,"['general', 'action']"
Europa Universalis: Crown of the North,PC,2000-11-09,61,68.0,ParadoxDevelopmentStudio,"strategy,real-time,historic,general,historic",No info,9,10,2000,11,9,Jue,"['general', 'real-time', 'historic', 'strategy']"
007: The World is not Enough,PlayStation,2000-11-06,61,67.0,BlackOpsEntertainment,"action,shooter,first-person,modern",No info,11,51,2000,11,6,Lun,"['shooter', 'first-person', 'action', 'modern']"
Mission: Impossible,Nintendo64,1998-07-18,61,66.0,Infogrames,"actionadventure,modern",1,11,44,1998,7,18,Sab,"['actionadventure', 'modern']"
Magnetic: Cage Closed,PC,2015-05-26,61,74.0,GuruGames,"sci-fi,adventure,3d,first-person",1,17,22,2015,5,26,Mar,"['sci-fi', 'first-person', 'adventure', '3d']"
The Grim Adventures of Billy & Mandy,Wii,2006-11-16,61,61.0,HighVoltageSoftware,"action,beat-'em-up,beat-'em-up,fighting,2d,3d",1,10,7,2006,11,16,Jue,"[""beat-'em-up"", '2d', 'fighting', 'action', '3d']"
Naruto to Boruto: Shinobi Striker,PlayStation4,2018-08-31,61,58.0,"CyberConnect2,Soleil","action,fighting,3d",>4,29,72,2018,8,31,Vie,"['fighting', 'action', '3d']"
